Project ID,Project Name,Start Date,End Date,Total Budget (Million $),Region,Project Manager,Project Update
PRJ1000,Pipeline Expansion - North Region,2024-02-10,2024-04-21,3.08,Eastern Canada,Ethan,Project progressing as planned with minor procurement delays.
PRJ1001,Compressor Station Upgrade - Phase 1,2024-05-25,2024-10-19,8.98,Western Canada,Charlie,Budget trending slightly above forecast; cost review scheduled.
PRJ1002,Tank Inspection and Compliance,2024-04-04,2024-09-18,11.1,Eastern Canada,Bob,Delays due to supply chain disruptions on imported components.
PRJ1003,Drilling Program - Site A,2024-01-20,2024-05-25,4.22,Northern Alberta,Charlie,Delays due to supply chain disruptions on imported components.
PRJ1004,Control System Modernization,2024-01-30,2024-05-16,20.71,Eastern Canada,Charlie,Budget trending slightly above forecast; cost review scheduled.
PRJ1005,Substation Buildout - Western Hub,2024-05-26,2024-09-28,16.33,Western Canada,Alice,Safety re-training initiated after recent minor incident.
PRJ1006,Well Pad Construction - Area 5,2024-03-20,2024-09-15,21.11,Eastern Canada,Charlie,Delays due to supply chain disruptions on imported components.
PRJ1007,Environmental Baseline Survey,2024-05-10,2024-08-11,5.65,Northern Alberta,Diana,Workforce shortage impacting daily productivity.
PRJ1008,Gas Processing Facility Upgrade,2024-02-11,2024-07-05,24.26,Northern Alberta,Diana,Weather-related setbacks have pushed back key milestones.
PRJ1009,Integrity Digs - Summer Program,2024-04-06,2024-07-31,20.53,Northern Alberta,Charlie,Budget trending slightly above forecast; cost review scheduled.
PRJ1010,Expansion Project 11,2024-02-11,2024-07-03,20.32,Northern Alberta,Bob,Project progressing as planned with minor procurement delays.
PRJ1011,Expansion Project 12,2024-02-29,2024-07-05,16.44,Western Canada,Alice,Excellent contractor performance; all milestones ahead of schedule.
PRJ1012,Expansion Project 13,2024-03-30,2024-08-23,7.95,Western Canada,Charlie,Excellent contractor performance; all milestones ahead of schedule.
PRJ1013,Expansion Project 14,2024-01-25,2024-05-07,16.41,Western Canada,Charlie,Unexpected geotechnical issues have slowed foundation work.
PRJ1014,Expansion Project 15,2024-04-14,2024-07-29,6.09,Eastern Canada,Bob,Excellent contractor performance; all milestones ahead of schedule.
PRJ1015,Expansion Project 16,2024-05-30,2024-10-10,13.32,Western Canada,Charlie,Safety re-training initiated after recent minor incident.
PRJ1016,Expansion Project 17,2024-01-22,2024-07-11,10.03,Western Canada,Charlie,Excellent contractor performance; all milestones ahead of schedule.
PRJ1017,Expansion Project 18,2024-03-28,2024-08-17,13.0,Eastern Canada,Diana,Budget trending slightly above forecast; cost review scheduled.
PRJ1018,Expansion Project 19,2024-06-09,2024-09-24,7.23,Northern Alberta,Bob,Delays due to supply chain disruptions on imported components.
PRJ1019,Expansion Project 20,2024-01-12,2024-04-25,16.02,Eastern Canada,Ethan,Budget trending slightly above forecast; cost review scheduled.
