Project ID,Safety Incidents,Quality Rating (1-5),Delays (Days),Incident Report,Last Updated
PRJ1000,2,4,23,No reported incidents this month at Site A – Main Compound; all operations across general work areas ran smoothly.,2024-07-01
PRJ1001,1,5,2,"Daily inspections at the North Zone entry gate showed consistent use of PPE including helmets, gloves, and vests.",2024-07-01
PRJ1002,0,4,17,"A scheduled fire drill was completed with full team compliance near the office trailer area, verifying the effectiveness of our muster point and fire alarm systems.",2024-07-01
PRJ1003,0,2,20,"The South Perimeter of the site passed the provincial safety inspection, confirming all site safety controls are in place.",2024-07-01
PRJ1004,1,4,9,"PPE compliance remains high during inspections at the Welding Bay, particularly with helmets and eye protection.",2024-07-01
PRJ1005,3,4,12,A minor malfunction on Excavator #12 at the East Wing foundation area delayed site work briefly.,2024-07-01
PRJ1006,2,4,7,"Contractor reported a late delivery of precast panels to the Materials Yard – Bay 3, which may impact the foundation schedule.",2024-07-01
PRJ1007,3,5,14,A second fire drill at the Site C staff facility was conducted with full compliance; all emergency systems performed as expected.,2024-07-01
PRJ1008,0,5,29,A subcontractor audit in the Electrical Room on Level 1 revealed non-compliance with installation standards for the electrical panel.,2024-07-01
PRJ1009,1,4,12,A quality audit in the HVAC duct zone (Sector B) uncovered issues with ventilation system installation by a subcontractor.,2024-07-01
PRJ1010,0,2,18,"A minor slip-and-fall incident occurred near the parking lot; no injury reported, but the walkway surface was flagged for additional cleaning.",2024-07-01
PRJ1011,0,3,28,A hoist crane stationed on the South Tower crane platform experienced a malfunction that delayed lift operations.,2024-07-01
PRJ1012,3,2,0,A breakdown of the concrete mixer at the mixing station temporarily halted slab preparation.,2024-07-01
PRJ1013,0,2,23,"No incidents were reported this month at the Control Center in Zone D, with general operations running without disruption.",2024-07-01
PRJ1014,1,4,7,"PPE compliance during daily rounds in the storage container area remains high, with all crew members properly geared.",2024-07-01
PRJ1015,0,3,12,"Delivery of steel beams to the loading dock in Sector F was delayed by the contractor, potentially affecting framing work.",2024-07-01
PRJ1016,1,4,3,An issue with a generator in the equipment shed (East Access) caused a short delay in power availability to tools.,2024-07-01
PRJ1017,2,3,12,"Another late delivery of electrical cabling was noted at the Receiving Bay – Gate 2, impacting prep work for lighting.",2024-07-01
PRJ1018,3,3,24,Facility A’s QA inspection zone passed the latest provincial safety check; inspectors highlighted strong safety compliance.,2024-07-01
PRJ1019,0,2,25,"A second minor slip-and-fall incident occurred in the break area—no injury, but the flooring will be reviewed for slip resistance.",2024-07-01
